name,id,desciption,category,buyprice,sellprice,marketvalue,circulation
Melatonin ,464,"Melatonin reduces the effects of disease and pain and in other tests, Melatonin can possibly increase one's concentration levels. When used in combat, this steroid will provide a massive bonus to speed.",Temporary,"$300,000 ","$225,000 ","$308,834 ","448,654"
Serotonin ,465,"Serotonin acts as a pain killer, and helps with blood clotting. Tests on animals show that serotonin can make the animal more dominant and aggressive. When used in combat, this steroid will provide a massive bonus to defense, and may even replenish some life.",Temporary,"$1,300,000 ","$975,000 ","$1,306,377 ","266,785"
Snow Globe '09 ,466,"These sit quietly all year round out of view, but at Christmas time one shake of this globe is the perfect reminder of the festive season.",Collectible,$0 ,$0 ,$0 ,"2,639"
Dancing Santa Claus '09 ,467,This hand me down from your favourite auntie lights up the room and gets everyone singing their favourite Christmas carols.,Collectible,$0 ,$0 ,$0 ,"16,375"
Christmas Stocking '09 ,468,"This stocking is never worn, but at Christmas time it is filled with lots of tasty goodies and hopefully a few presents.",Collectible,$0 ,$0 ,$0 ,5
Santa's Elf '09 ,469,"Santa's elves work hard all year round. This figurine was made in recognition of their efforts, and is sold in secret stores around the city.",Collectible,$0 ,$0 ,$0 ,402
Christmas Card '09 ,470,"Send this clever card, made from 100% recycled paper, to your loved ones at Christmas. It has a sweet festive rhyme inside if you are lost for words.",Collectible,$0 ,$0 ,$0 ,5
Admin Portrait '09 ,471,"A portrait of Clansy, Wolfeh, Davz and Ched. To hang above the mantel while the fire glows. We give you this gift because we care, No really we dont mind if you sit and stare. We know you guys luff us the best, Ched even wore his best Christmas vest. Merry Christmas!",Collectible,$0 ,$0 ,$0 ,38
Blue Easter Egg ,472,"Fear not, mortal. You are now under the protection of Blue. Guarded by my presence, danger itself shall fear you. Your human form is frail and weak. But with my help, thou art fortified against all peril. Together, we shall defy death. I will see to it that you resist the lure of the afterlife with every ounce of strength. Onward, soldier. To victory!",Booster,$0 ,$0 ,$0 ,"29,049"
Green Easter Egg ,473,"Hey champ! Are you ready to take on the world? No worries if not. But if you are in the right place spiritually, I'm here for you with a bolt of fresh, organic, unfiltered, recycled, cruelty-free filtered energy. Gulp me down and feel me deep inside your core! Because with my green glow on your side, you'll be ready to attack the day and crush your goals. I believe in you. Carpe diem!",Booster,$0 ,$0 ,$0 ,"84,444"
Red Easter Egg ,474,"Lookin' for a lil nerve, are ya? Thought so. Folks always come crawling back to old red when they're feelin' yellow. That happy little freak might make ya'll giddy inside, but old red will kick you in the balls and pull you up by your bootstraps. And then steal your boots. And kick you in the balls again. What was I sayin? Ah, who gives a rat's hole. Wanna burn a warehouse?",Booster,$0 ,$0 ,$0 ,"91,031"
Yellow Easter Egg ,475,"Isn't Torn City great? Life is good here. All the people are so friendly and kind. Look at that cute squirrel! I wonder if he has a family. Families are great. I love to think about my family and smile. Do you like smiling? Smile with me. Let's smile together. Oh wow, there's that squirrel again. Is he smiling? I had no idea squirrels could smile. A smile is the best thing to wear, and it's free! What are you wearing? A frown? Let's turn that frown... You guessed it! Upside down. Hahaha. We're having so much fun together.",Booster,$0 ,$0 ,$0 ,"110,547"
White Easter Egg ,476,"Welcome to the circle of sobriety, friend. There are no judgments here, only love. By embracing my light, you will take the first step on the long road to recovery. My white exterior represents hope. Hope that you will one day free yourself from the chains of addiction. Each time you partake of my pureness, the grip of substance shall release a little more. Give me your hand. Let us form a circle. One egg at a time, we will conquer your demons together.",Booster,$0 ,$0 ,$0 ,"80,011"
Black Easter Egg ,477,"Money makes the world go round, and the black egg is here to make sure you're spinning in the right direction. My returns are uncorrelated with traditional asset classes, providing valuable diversification in the field of portfolio optimization. Your eyes have glazed over. Don't worry, I've got this. You want to be a high roller, right? First, you have to roll the dough. Then, we make bread.",Booster,$0 ,$0 ,$0 ,"17,622"
Gold Easter Egg ,478,"Feeling tired, bro? No sweat, bro. The gold egg's got your back. I'll have you powering through your fitness goals in less time than it takes to make scrambles. We're gonna crush it, broseph. Unless you wanna be a field mouse for the rest of your life. Is that what you want? Huh? Answer me. What's up, cat got your tongue, wickle mousey? There we go. Now you're getting pissed off. I like that. Use it. Abuse it. Unleash the beast within!",Booster,$0 ,$0 ,$0 ,"10,115"
Metal Dog Tag ,479,"A solid metal dog tag, given to winners of the yearly happy tagging competition.",Collectible,$0 ,$0 ,$0 ,199
Bronze Dog Tag ,480,"A solid bronze dog tag, given to the 3rd place winner of the yearly happy tagging competition.",Collectible,$0 ,$0 ,$0 ,11
Silver Dog Tag ,481,"A solid silver dog tag, given to the 2nd place winner of the yearly happy tagging competition.",Collectible,$0 ,$0 ,$0 ,11
Gold Dog Tag ,482,"A solid gold dog tag, given to the 1st place winner of the yearly happy tagging competition.",Collectible,$0 ,$0 ,$0 ,11
MP5k ,483,A short version of the standard MP5. The MP5k is a short-range weapon with a lot of fire power.,Secondary,$0 ,$500 ,$442 ,"158,158"
AK74U ,484,"A shortened AK74. The AK74U has roughly the same dimensions and range as most Submachine Guns, but has the advantage of standard issue assault rifle ammunition.",Primary,$0 ,$500 ,"$19,721 ","72,132"
Skorpion ,485,"This Czech weapon was designed for police, but is also used by some military units. It offers single shot, 3 burst fires and fully automatic functions.",Secondary,$0 ,$500 ,$311 ,"338,419"
TMP ,486,"This modern SMG has a blowback operated, locked breech design. The TMP has no stock and can therefore, only be fired from pistol-style.",Secondary,$0 ,$500 ,$401 ,"203,365"
Thompson ,487,"An American blowback SMG. The Thompson takes a double row, box magazine designed to be inserted from below.",Primary,$0 ,$500 ,$500 ,"156,454"
MP 40 ,488,"Made in Germany, the MP40 is an open bolt, blowback operated Submachine Gun. Has a slow rate of fire and little recoil, and is useful for single shots rather than bursts.",Primary,$0 ,$500 ,"$11,716 ","67,024"
Luger ,489,"Also known as the ""Parabellum Pistole"". This name comes from the Latin phrase ""Si vis pacem, para bellum""--""if you want peace, prepare for war."" A semi-automatic 9mm handgun.",Secondary,$0 ,$500 ,$351 ,"419,184"
Blunderbuss ,490,"The Blunderbuss is a muzzle loading, single shot, short barrelled firearm. It is an early form of shotgun adapted to be used for personal and military defense.",Secondary,$0 ,$500 ,"$7,062 ","70,831"
Zombie Brain ,491,"A zombie brain, carefully dissected from the head of a zombie.",Collectible,$0 ,$0 ,$0 ,"4,388"
Human Head ,492,A trophy for some zombies. A tasty snack for others.,Collectible,$0 ,$0 ,$0 ,"2,614"
Medal of Honor ,493,Given to the valiant troops who lead their flag to victory in the World War competition.,Collectible,$0 ,$0 ,$0 ,"4,659"
Limoen Saxon ,494,"The Limoen Saxon is mightily quick off the line, and actually has the joint-best acceleration rating of any Class E car along with the Çagoutte 10-6. However, its small, 1,400cc engine means it will struggle in a straight line fight, and you'd be advised to abandon this vehicle the minute you enter Class D.",Car,$0 ,"$8,000 ","$917,500 ","65,620"
Nano Pioneer ,495,"Nano drivers tend to fall into one of two categories. Either they're lifelong fans of this classic British brand, or they're too cheap to pay for gas. If you ever see the Nano Pioneer overtake you on the track you're in trouble, as this is one of the slowest cars available in Torn City. But that's actually a bonus in some ways, as the Nano's 8 inch braking discs couldn't stop a snail if it were mooching.",Car,"$9,500 ","$7,500 ","$10,391 ","152,533"
Vita Bravo ,496,"The Vita Bravo is a solid investment for Class E drivers as despite its relatively poor top end speed it remains competitive when pitted against Class D vehicles. And despite its low dirt rating, this car seems to do well on full or partial mud tracks, where the Bravo's superior handling often wins out.",Car,$0 ,"$8,000 ","$4,195,331 ","37,038"
Zaibatsu Macro ,497,"Most people only ever find themselves in the seat of a Zaibatsu Macro when they're taking their driving test, and with good reason. The Macro handling is abysmal, and this would be dangerous if it could ever reach anything beyond a mid-range top speed. That being said, the braking on these vehicles is absolutely first class, which is probably a good thing if you've got a GTA-addicted teenager in the driving seat.",Car,$0 ,"$7,500 ","$263,180 ","52,833"
Çagoutte 10-6 ,498,"This French hot hatch is popular in its class due to its rapid acceleration, and unlike the Limoen Saxon, this car has the pace to make use of it. If you're looking to purchase a Çagoutte 10-6, your best bet is to try the nearest wreck yard, or perhaps a large tree on a shaded corner, since this car's brakes appear to be made of cotton candy.",Car,"$8,000 ","$6,500 ","$7,686 ","133,294"
Papani Colé ,499,"Papani's Colé model is a great choice for Class E drivers who need pace over precision. This car's 16-valve engine may have little torque, but once it hits top speed you'll find others in its class will struggle to catch up, especially if you're down at the Docks or barrelling around the Speedway.",Car,"$11,000 ","$8,000 ","$10,220 ","93,286"
Bedford Racer ,500,"A favorite among everyone's girlfriend during the early 2000's, the Bedford Racer is a safe little motor whose brakes are far and away its most impressive asset. Unfortunately, you'll rarely get a chance to test them, since this is one of the slowest cars in Class E, or in any class, for that matter.",Car,"$9,000 ","$7,000 ","$8,781 ","71,730"
Stålhög 860 ,501,"Stålhög's USP lies in the sturdiness and strength of their cars. The 860 is no different, with this battleship weighing in at a colossal two tonnes. But while this model's braking may leave much to be desired, the Stålhög 860 is among the fastest of its class, and can easily exceed 100mph on the straights.",Car,$0 ,"$5,500 ","$416,363 ","85,106"
Alpha Milano 156 ,502,"Alpha Milano's 156 model possesses a large amount of torque, giving it great acceleration off the line. The tradeoff comes in the braking department, with this being one of a number of areas where this car suffers from reliability issues.",Car,"$14,000 ","$9,000 ","$13,323 ","45,701"
Bavaria X5 ,503,"Handling is not the X5's strong point, with one online review describing it as ""sharp as a tug boat on tarmac."" Nevertheless, the X5's superior braking makes it more than capable of setting Class D records across both dirt and tarmac.",Car,"$35,000 ","$20,000 ","$38,500 ","54,833"
Coche Basurero ,504,"The Coche Basurero is something of a joke in Torn, since you're far more likely to see it at the dump than on the road. Nevertheless, this turbo charged European hatchback remains a useful Class D vehicle, with its poor top speed compensated for by superb acceleration off the line.",Car,"$17,500 ","$11,000 ","$10,914 ","180,759"
Bedford Nova ,505,"With a top speed of 150mph the Bedford Nova is the fastest in its class by some margin. Unfortunately, it'll take you some time to get there since the Nova's dreaded torque steer means all its power is put through the front wheels, giving it some of the poorest acceleration stats of any D class vehicle.",Car,$0 ,"$8,500 ","$299,944 ","66,489"
Verpestung Sport ,506,"Either of the Verpestungs available in Torn will serve you well in a D-class dirt race, but as its name suggests, the Sport is slightly quicker than the Insecta, albeit by a paltry 2mph. When it comes to the tarmac, Torn's racers find that this king of the hot hatches is often beaten by the Insecta at all but a handful of tracks.",Car,"$12,500 ","$7,300 ","$10,384 ","59,432"
Echo S3 ,507,"The Echo S3 is considered an elite car among Class C vehicles, with their limited top speed compensated for by strong acceleration. These models are often given out as runner-up prizes via the URT, and their rarity means they can change hands for several billion dollars due to their collectible status.",Car,$0 ,$0 ,$0 ,21
Volt RS ,508,"The Volt RS's top speed of 163mph makes it only the third-fastest in Class C, but where it stands alone is the rapid acceleration provided by its 300bhp, 2.5 liter turbocharged engine. This model is also the highest rated tarmac car in its class, but Torn's dirt racers are known to favor the FRS on occasion too.",Car,"$55,000 ","$30,000 ","$50,419 ","47,339"
Edomondo S2 ,509,"The wise racer never takes the Edomondo S2 straight from the showroom to the track. Fresh out of the box, this Class C car is distinctly average in terms of speed and handling, and its superior braking ability doesn't quite make up for its shortfalls. However, once you've applied a few upgrades to this baby, the s2 comes much more competitive - if you choose wisely, that is.",Car,"$40,000 ","$21,000 ","$28,724 ","41,088"
Nano Cavalier ,510,"The Nano Cavalier may be at the lower end of class C in terms of sheer pace, but its speed off the line makes it a force to be reckoned with on the right track. Thankfully, the Cavalier comes outfitted with a better set of brakes than the Nano Pioneer, although it doesn't quite have the relative handling advantage among similar cars of its class.",Car,$0 ,"$27,000 ","$190,493 ","21,908"
Colina Tanprice ,511,"If you're heading to a dirt track, a fully upgraded Colina Tanprice will often outpace even the most well-equipped Class A car. The Tanprice's low horsepower may limit its acceleration potential, but its superior maneuverability puts it way ahead of its competitors in the mud.",Car,$0 ,"$22,000 ","$49,124,998 ","32,998"
Cosmos EX ,512,"Take a Cosmos EX out on the straight and your opponents will leave you for dust, as its tiny 1.8 liter engine means it simply cannot compete against other Class B cars when speed is the deciding factor. But when it comes to handling, the EX out-performs them all, as it holds the road tighter than a desperate lover.",Car,"$40,000 ","$19,000 ","$19,524 ","224,636"
Yotsuhada EVX ,513,"The Yotsuhada EVX may not fare too well on the tarmac, but this model is well suited to off-road and rally tracks. Capable of 0-60 in just 4.5 seconds, the EVX is ideal for those seeking an early lead in the dirt. Overall, this car is considered a mid-level choice among Class B vehicles.",Car,$0 ,"$27,000 ","$215,687 ","25,001"
Sturmfahrt 111 ,514,"You can't get more iconic than the Sturmfahrt, but image isn't everything. On the right track, this lightweight racer is competitive enough, but the triple one's top speed is seriously hindered by downforce. Nevertheless, this is a decent car for those who have moved up to Class B, although you're likely to abandon it as soon as you hit A Class.",Car,"$95,000 ","$60,000 ","$61,198 ","46,150"
Tsubasa Impressor ,515,"Tsubasa's Impressor offers an outstanding alternative to the expensive Colina Tanprice for those heading to a dirt track. The Impressor beats the Tanprice in terms of speed and acceleration, but is let down by its relatively poor handling. Nevertheless, this car's status as a rally legend makes it more than competitive out in the mud.",Car,"$55,000 ","$28,000 ","$52,995 ","54,101"
Wington GGU ,516,"The Wington GGU is frustratingly close to being an excellent ride. If this car could brake as well as it handles, it'd be up there with the very best. The GGU's speed and control will take you far in the racing world, it's just that you won't be able to stop when you get there.",Car,$0 ,"$32,000 ","$153,234 ","22,824"
Weston Marlin 177 ,517,"The Weston Marlin brand may be the preserve of well-heeled international super-spies, but their build and design quality impresses petrol-heads too. The 177 model is considered a great alternative to the Veloria or Edomondo as a Class A starter car, but its 700bhp V12 engine means that practice is needed if you are to make the most of this car's ability around corners.",Car,$0 ,"$2,100,000 ","$2,144,998 ","28,768"
Echo R8 ,518,"Echo's R8 model is a precision all-rounder whose handling can make any driver feel like a seasoned professional. This car may lack any real top end speed, but the R8's versatility often makes it the first choice for prospective racing champions when they line up at Stone Park.",Car,$0 ,"$810,000 ","$806,853 ","31,021"
Stormatti Casteon ,519,"Considered the pinnacle of engineering perfection, the Casteon's quad-turbocharged W16 engine is capable of 0-60 in 2.5 seconds and a top speed of 254mph, making it the fastest car in Torn City by some margin. But don't let its straight line speed fool you, as while this vehicle's gigantic rear air brake does a reasonable job of slowing it down, the Casteon's poor handling means it is far from unbeatable on the vast majority of tracks.",Car,$0 ,$0 ,$0 ,36
Lolo 458 ,520,"The Lolo 458 isn't the best car overall for any given track, but its versatility and competitive stats make it a good option for your first Class A purchase nonetheless. Its 202 mph top speed won't set any records, but the 458's solid ratings for acceleration, braking, and handling should serve you well once you begin rubbing shoulders with the Class A elite.",Car,$0 ,"$1,075,000 ","$1,048,040 ","37,854"
Lambrini Torobravo ,521,"Torn's racing community is undecided as to whether the Lambrini or the Veloria is the best choice for Uptown, with the former holding higher acceleration and braking, but its rival possessing a better top speed. The Lambrini is no slouch though, with its V10 engine capable of a top speed of 202mph.",Car,$0 ,"$3,600,000 ","$3,530,698 ","27,028"
Veloria LFA ,522,"As you might expect from the luxury vehicle division of its parent brand Tabata, the Veloria LFA is capable of incredible top speeds on the straight. But while this car can out-drag most of its class rivals, the LFA's weight causes great intertia when stopping, in spite of its excellent braking system. The LFA is still considered one of the top Class A cars, however, and is capable of posting All Class records on the right track.",Car,$0 ,"$4,700,000 ","$5,189,801 ","39,590"
Mercia SLR ,523,"Mercia's SLR isn't a popular choice among Class A drivers, with its difficult handling meaning it tends to be saved for long ratio tracks such as Convict or Withdrawal. But if you can get this machine up and moving you'll be well out of sight on the straights, given that the SLR has the third-fastest top speed in Torn City.",Car,$0 ,"$1,900,000 ","$1,852,236 ","31,990"
Zaibatsu GT-R ,524,"Zaibatsu's GT-R may have a reputation as the ultimate boy's toy, but this rapid racer is no mere plaything. Second only to the Casteon in terms of acceleration, the GT-R has top notch specs across the board, with its only downside being a limited top speed of 192mph.",Car,$0 ,"$170,000 ","$613,797 ","30,752"
Mr Torn Crown '10 ,525,Awarded to Madmiketyson [979994] for winning the Mr Torn City awards 2010!,Collectible,$0 ,$0 ,$0 ,1
Ms Torn Crown '10 ,526,Awarded to Iamone [1296111] for winning the Miss Torn City awards 2010!,Collectible,$0 ,$0 ,$0 ,1
Bag of Candy Kisses ,527,Small tear shaped chocolate candies. Provides a moderate happiness increase when consumed.,Candy,$0 ,$20 ,"$69,421 ","2,906,322"
Bag of Tootsie Rolls ,528,A pack of individually wrapped chewy candies with an assortment of flavours. Provides a moderate happiness increase when consumed.,Candy,$0 ,$25 ,"$96,050 ","2,276,742"
Bag of Chocolate Truffles ,529,"With a chocolate ganache center coated in chocolate, nothing tastes better. Provides a large happiness increase when consumed.",Candy,$0 ,$75 ,"$151,626 ","1,864,191"
Can of Munster ,530,"Guaranteed to turn your insides a monstrous shade of green, Munster is the only energy drink certified as a propellant by the Torn City Aviation Authority.",Energy Drink,$0 ,$0 ,"$1,655,595 ","922,445"
Bottle of Pumpkin Brew ,531,"Brewed with the finest pumpkins, the perfect alcoholic drink for Halloween. Provides a moderate nerve increase when consumed.",Alcohol,$0 ,$0 ,"$71,075 ","1,688,331"
Can of Red Cow ,532,"Bolstered by cow placenta extract, Red Cow's special blend of herbs and hormones is so toxic you'll need four stomachs just to digest it.",Energy Drink,$0 ,$0 ,"$2,239,022 ","965,130"
Can of Taurine Elite ,533,"Taurine Elite is a high-strength energy drink targeted toward those who need 48 hours in every day and have scant regard for their physical well-being, hence its popular slogan, ""You'll really feel your kidneys!""",Energy Drink,$0 ,$0 ,"$3,699,689 ","636,440"
Witch's Cauldron ,534,"A black plastic ornamental cauldron, ideal for Halloween decorations.",Other,$0 ,$10 ,$0 ,"12,511"
Electronic Pumpkin ,535,Designed for people who have no spare time: just pop in the batteries and it's ready to go.,Other,$0 ,$15 ,"$20,094 ","169,871"
Jack O'Lantern Lamp ,536,"This beautifully crafted lamp will sit nicely on your table, but at night turn it on to see it in its full spooky glory.",Other,$0 ,$35 ,"$800,000 ","206,425"
Spooky Paper Weight ,537,This glass paperweight has an ancient model castle inside. If you look closely you can almost see some eyes looking out of the front door.,Other,$0 ,$35 ,"$2,392,495 ","141,934"
Medieval Helmet ,538,Found in William the Bald's Castle this armor is more for show than battle due to the ductile and malleable material it is made of.,Defensive,$0 ,$0 ,"$7,000,000 ","22,089"
Blood Spattered Sickle ,539,"A traditional Halloween weapon, second hand as these are not made anymore. Complete with authentic blood stains.",Melee,$0 ,$0 ,$0 ,"11,530"
Cauldron ,540,"Forged from iron ore, this handmade black cauldron is ideal to hang over an open fire and cook food in. According to legend, witches used cauldrons for concocting their potions.",Other,$0 ,$500 ,$0 ,"23,740"
Bottle of Stinky Swamp Punch ,541,This drink smells like a real swamp: you will need nerves of steel to down this puppy. Provides a very large nerve increase when consumed.,Alcohol,$0 ,$0 ,"$346,957 ","808,759"
Bottle of Wicked Witch ,542,Forget the tequila with the worm ... try the cider with the frog leg floaters! Provides a large nerve increase when consumed.,Alcohol,$0 ,$0 ,"$171,885 ","879,186"
Deputy Star ,543,"Double struck solid copper with a gold antique finish. This item is only earned through merit and is given to those with the resolve to solve the most difficult cases. Pinned to your chest, the deputy star should be worn with the utmost pride. It is a recognisable symbol of peace and justice throughout Torn.",Collectible,$0 ,$0 ,$0 ,"10,568"
Windproof Lighter ,544,"Picture the scene: you're trapped on an icy mountain slope, exposed to the elements. You've cobbled together some twigs, pulled out your lighter, and are desperately trying to get a fire going to hold off the frostbite chewing through your toes. But there's one problem - a light breeze. The wind snuffs out the flame before it can catch. That's why you don't risk your life with a cheap disposable. The Windproof Lighter, with its refillable butane tank, reinforced metal casing, and catalytic burner, is built to keep burning through the most trying circumstances. Because no one wants their cause of death recorded as ""it was a bit windy"".",Enhancer,$0 ,$0 ,"$4,609,285 ","59,631"
Dual TMPs ,545,"Dual TMP sub machine guns. With the smallest magazines, you'll be reloading often. Although it'd be surprising if you couldn't kill them within the first round.",Primary,$0 ,$0 ,$0 ,10
Dual Bushmasters ,546,Dual Bushmaster Carbon 15 Type 21s sub machine guns. Certainly the most accurate in the range: unleash the awesome fire-power while actually hitting the targets you're aiming at.,Primary,$0 ,$0 ,$0 ,10
Dual MP5s ,547,Accurate and deadly dual MP5-Navy sub machine guns. Simply hold the triggers and let 'em have it!,Primary,$0 ,$0 ,$0 ,10
Dual P90s ,548,Dual P90 sub machine guns. The P90s easily have the biggest magazine when compared to the other dual SMG's--you'll last several rounds without having to reload.,Primary,$0 ,$0 ,$0 ,10
Dual Uzis ,549,"Dual 9mm Uzi sub machine guns. The least accurate, but most damaging SMG in the range. Even if you don't hit them, they won't be popping their head up again after that onslaught of firepower.",Primary,$0 ,$0 ,$0 ,10
Bottle of Kandy Kane ,550,This bottled drink is said to be a Santa favourite. Gives your nerve the boost it needs. Provides a moderate nerve increase when consumed.,Alcohol,$0 ,$0 ,"$71,120 ","1,354,243"
Bottle of Minty Mayhem ,551,A bottle of this can create mayhem with your nerve. Boosting your nerve enough to take the edge off. Provides a large nerve increase when consumed.,Alcohol,$0 ,$0 ,"$170,236 ","969,502"
Bottle of Mistletoe Madness ,552,One bottle of this is all it takes sometimes. Boost your nerve to the right level. Provides a very large nerve increase when consumed.,Alcohol,$0 ,$0 ,"$344,152 ","953,835"
Can of Santa Shooters ,553,"Fizzy, festive, and fatal to those with heart conditions, Santa Shooters will have you rockin' around the Christmas tree until your tendons snap.",Energy Drink,$0 ,$0 ,"$1,666,215 ","749,115"
Can of Rockstar Rudolph ,554,"Ever wonder why Rudolph's nose glows red? He's addicted to cocaine, which is coincidentally the primary ingredient in Rockstar Rudolph alongside ground-up Caribou pelvis.",Energy Drink,$0 ,$0 ,"$2,244,858 ","728,071"
Can of X-MASS ,555,"The favored tipple of big, bulking bodybuilders, X-MASS's side effects include a deepened voice, swollen testicles, and beard growth—and that's just the women!",Energy Drink,$0 ,$0 ,"$3,791,175 ","721,335"
Bag of Reindeer Droppings ,556,"That's right, by all appearances it's a bag of Reindeer droppings. Don't let the looks deceive you, these chocolate covered raisins will melt in your mouth and boost your happiness! Provides a large happiness increase when consumed.",Candy,$0 ,$0 ,"$157,390 ","819,814"
Advent Calendar ,557,Every day brings us one step closer to Christmas. Peeling back the paper door on the calendar helps the countdown seem real and gives a bit of chocolate for the day.,Other,$0 ,$15 ,"$18,539 ","221,031"
Santa's Snot ,558,"Warm and gooey, though not much of a treat, at least you know Christmas will happen this year. What a souvenir to remember it by.",Other,$0 ,$0 ,"$39,500 ","90,916"
Polar Bear Toy ,559,"Fluffy and cute, this plushie is sure to keep you warm in winter.",Other,$0 ,$100 ,"$50,222 ","272,256"
Fruitcake ,560,"Everyone gets one of these, and no one wants it. Hard and stale.",Material,$30 ,$4 ,$530 ,"19,756,433"
Book of Carols ,561,A book filled with all the Christmas favourites. Just opening it makes you a bit more knowledgeable. Lowers current education time by a small amount.,Booster,$0 ,$0 ,"$13,315,611 ","24,300"
Sweater ,562,"Never attractive, but always seems to be under the tree on Christmas morning. Hopefully it at least protects you from the cold.",Clothing,$0 ,$25 ,$197 ,"1,386,443"
Gift Card ,563,The perfect gift for when you just don't know what to get someone. Takes a bit of time and stress off the shopping list. Lowers current bank investment time by a small amount.,Booster,$0 ,$0 ,"$3,877,649 ","33,803"
Glasses ,564,A pair of high quality designer spectacles. Soft adjustable nose pads and plastic arm tips help to create a comfortable fit. These frames also make very cool sunglasses for men and women.,Enhancer,$0 ,$0 ,"$13,093 ","326,926"
High-Speed Drive ,565,This state-of-the-art DVD drive can burn DVDs faster than any other device on the market. Perfect for creating large volumes of high quality backups.,Enhancer,$0 ,$0 ,"$386,239 ","161,076"
Mountain Bike ,566,"The Mountain Bike is a high spec bicycle created for off-road cycling. This high-performance bike has an aluminium dual suspension frame, alloy linear pull brakes and 24 speed gears. Perfect for quick shopping runs in the city.",Enhancer,$0 ,$0 ,"$240,487 ","161,420"
Cut-Throat Razor ,567,"The Cut-Throat Razor is a razor with a blade that can fold into its handle. Once widely used, it has since been replaced by modern safety razors. However it is still a popular tool with pickpockets who use it to open victim's pockets and cut bag straps unnoticed.",Enhancer,$0 ,$0 ,"$20,283 ","267,157"
Jemmy ,568,The Jemmy is a tool used for forcing entry. It is smaller and lighter than an ordinary crowbar making it easy to conceal. It can pop windows and doors with the minimum of effort.,Tool,$0 ,$0 ,"$17,062 ","467,311"
Balaclava ,569,The Balaclava is a warm hat that covers the whole head. It has two eye holes for improved vision and a convenient mouth hole for barking orders at bank and convenience store staff.,Enhancer,$0 ,$0 ,"$2,683,333 ","73,745"
Advanced Driving Manual ,570,"The Advanced Driving Manual is a special textbook used in training the FBI, MI5 and other government security departments. It details tried and tested methods for evading pursuers on public roads. This book is not available to the public.",Enhancer,$0 ,$0 ,"$68,061 ","114,156"
Ergonomic Keyboard ,571,"This healthier alternative for standard keyboards greatly increases typing speed and lets you work for longer, more comfortably. It has been expertly crafted to allow you to work in a more natural position.",Enhancer,$0 ,$0 ,"$647,845 ","111,205"
Tracking Device ,572,"The Tracking Device is a kit that comprises a discreet, magnetic tracker and handheld GPS mapping system. It can track anyone or anything anywhere in the world to within 1 meter.",Enhancer,$0 ,$0 ,"$78,889 ","123,432"
Screwdriver ,573,"A strong flat-head screwdriver. With corrosion resistant, high grade chrome plated steel bars, the chance of tip breakage while shoving it in to a car ignition is extremely low.",Enhancer,$0 ,$0 ,"$543,333 ","73,833"
Fanny Pack ,574,"Problem solved! The bum bag is both comfortable and very fashionable to wear, while also keeping your personal belongings 100% secure as they are kept as close to you as possible. Perfect for storing and retrieving things on the fly!",Enhancer,$0 ,$0 ,"$53,627 ","114,628"
Tumble Dryer ,575,"A condenser tumble dryer with a 10 kg capacity load. Use to dry clothes, or to make money, casino chips and credit cards look old and used - more realistic!",Enhancer,$0 ,$0 ,"$56,634 ","116,499"
Chloroform ,576,"Made by creating a chain reaction involving highly reactive chemicals, this strong smelling substance is sure to keep your kidnap victims quiet while you negotiate ransoms.",Enhancer,$0 ,$0 ,"$373,107 ","139,759"
Heavy Duty Padlock ,577,"This weatherproof high security padlock is great for securing the back of big rigs to prevent the cargo from being stolen, the cops won't even bother with it if they stop you!",Enhancer,$0 ,$0 ,"$476,641 ","73,723"
Duct Tape ,578,"Bonds on rough and uneven surfaces with a strong bite, is 100% waterproof, has strong reinforced backing, a rugged all-weather shell, double-thick adhesive and is perfect for affixing anything to anything!",Enhancer,$0 ,$0 ,"$791,768 ","115,001"
Wireless Dongle ,579,Access the internet nearly anywhere! A very useful tool for getting close to unsecure networks and bank mainframes.,Enhancer,$0 ,$0 ,"$77,764 ","115,615"
Horse's Head ,580,Go 'Godfather' on them... Place this horse's head in a parcel to give the recipient an awful surprise.,Special,$0 ,$0 ,"$1,073,090 ","40,716"
Book ,581,Make someone feel schooled. Punish them severely by throwing the book at them.,Temporary,$0 ,$20 ,$0 ,"9,877"
Tin Foil Hat ,582,"Designed for the paranoid of mind, this hat keeps out all of those unwanted radio signals and mind reading devices that stalk your every move.",Clothing,$0 ,$0 ,$0 ,50
Brown Easter Egg ,583,"Kids today don't know the meaning of hard work. I do. My father beat it into me when I was a child. And I was grateful for it. 28 hours a day, 9 days a week he slaved away down at the hard labor factory. Did he ever complain? I never heard it. And I won't hear it from you. My old man had the grindset mentality, and I'll teach it to you, too. He never took time off. He never did bare minimum mondays. He even asked his boss to reduce his wage so he could truly feel he earned it. Anyway, enough chatter. Let's get to work.",Booster,$0 ,$0 ,$0 ,"14,392"
Orange Easter Egg ,584,,Booster,$0 ,$0 ,$0 ,0
Pink Easter Egg ,585,,Booster,$0 ,$0 ,$0 ,0
Jawbreaker ,586,This colossal 3 inch jawstopper has 15 different flavoured layers of tooth rotting goodness. Provides a large happiness increase when consumed.,Candy,$0 ,$55 ,"$334,446 ","153,048"
Bag of Sherbet ,587,This bag of sherbet provides you with that mouth tingling fizz that you've always been waiting for. Provides a large happiness increase when consumed.,Candy,$0 ,$45 ,"$333,404 ","151,330"
